Date,Platform,Sentiment,Location,Engagements,Media_Type,Influencer_Brand,Post_Type
2024-02-09,X/Twitter,Positive,Medan,10787,Text,@snackattack | ZingPop,Review
2024-02-20,X/Twitter,Positive,Makassar,18472,Carousel,@drinkculture | ZingPop,Collab
2024-02-08,Instagram,Negative,Medan,7010,Image,@snackattack | ZingPop,Behind the Scenes
2024-03-01,X/Twitter,Positive,Denpasar,15250,Carousel,@kulinerhits | ZingPop,Collab
2024-02-03,YouTube,Neutral,Makassar,4375,Video,@tastebuds.id | ZingPop,Promo
2024-02-24,X/Twitter,Positive,Medan,6256,Carousel,@tastebuds.id | ZingPop,Review
2024-02-16,YouTube,Positive,Surabaya,8511,Carousel,@tastebuds.id | ZingPop,Promo
2024-02-24,YouTube,Neutral,Yogyakarta,3035,Text,@kulinerhits | ZingPop,Collab
2024-02-06,TikTok,Positive,Denpasar,6612,Text,@tastebuds.id | ZingPop,Collab
2024-02-09,Instagram,Neutral,Bandung,9903,Carousel,@kulinerhits | ZingPop,Collab
2024-03-02,YouTube,Negative,Denpasar,5059,Image,@snackattack | ZingPop,Collab
2024-02-11,Instagram,Negative,Bandung,17870,Video,@tastebuds.id | ZingPop,Product Launch
2024-02-15,X/Twitter,Positive,Jakarta,2375,Carousel,@kulinerhits | ZingPop,Behind the Scenes
2024-02-04,YouTube,Neutral,Surabaya,4440,Image,@kulinerhits | ZingPop,Product Launch
2024-02-17,TikTok,Neutral,Bandung,17682,Video,@genzfoodie | ZingPop,Product Launch
2024-02-03,Instagram,Neutral,Makassar,8952,Image,@genzfoodie | ZingPop,Behind the Scenes
2024-02-01,Instagram,Neutral,Surabaya,1434,Carousel,@kulinerhits | ZingPop,Behind the Scenes
2024-02-22,YouTube,Negative,Jakarta,19056,Text,@kulinerhits | ZingPop,Promo
2024-02-08,Instagram,Positive,Medan,10099,Image,@drinkculture | ZingPop,Promo
2024-02-16,YouTube,Neutral,Jakarta,15697,Image,@drinkculture | ZingPop,Behind the Scenes
2024-02-04,X/Twitter,Positive,Yogyakarta,6008,Image,@genzfoodie | ZingPop,Review
2024-03-01,TikTok,Positive,Medan,6137,Video,@snackattack | ZingPop,Promo
2024-02-01,TikTok,Positive,Denpasar,10041,Text,@genzfoodie | ZingPop,Collab
2024-02-09,YouTube,Neutral,Denpasar,6997,Image,@drinkculture | ZingPop,Collab
2024-02-29,TikTok,Neutral,Medan,9501,Text,@drinkculture | ZingPop,Collab
2024-02-23,Instagram,Positive,Bandung,5874,Video,@tastebuds.id | ZingPop,Promo
2024-02-11,X/Twitter,Positive,Jakarta,10867,Image,@snackattack | ZingPop,Collab
2024-02-20,X/Twitter,Negative,Makassar,18008,Image,@drinkculture | ZingPop,Review
2024-02-26,X/Twitter,Positive,Makassar,18038,Carousel,@snackattack | ZingPop,Promo
2024-02-05,TikTok,Positive,Medan,7795,Video,@tastebuds.id | ZingPop,Collab
2024-02-26,TikTok,Neutral,Surabaya,10696,Carousel,@kulinerhits | ZingPop,Collab
2024-02-09,Instagram,Positive,Denpasar,3058,Image,@snackattack | ZingPop,Collab
2024-02-22,TikTok,Positive,Yogyakarta,766,Image,@drinkculture | ZingPop,Promo
2024-02-09,YouTube,Positive,Jakarta,6369,Carousel,@snackattack | ZingPop,Review
2024-02-06,X/Twitter,Positive,Jakarta,10235,Carousel,@tastebuds.id | ZingPop,Collab
2024-02-21,X/Twitter,Positive,Bandung,16961,Image,@genzfoodie | ZingPop,Behind the Scenes
2024-02-25,X/Twitter,Positive,Denpasar,15192,Carousel,@drinkculture | ZingPop,Review
2024-02-05,YouTube,Positive,Denpasar,6235,Video,@kulinerhits | ZingPop,Review
2024-02-02,X/Twitter,Positive,Makassar,13615,Carousel,@genzfoodie | ZingPop,Product Launch
2024-02-01,X/Twitter,Neutral,Jakarta,10511,Text,@snackattack | ZingPop,Promo
2024-02-06,Instagram,Positive,Denpasar,6171,Text,@drinkculture | ZingPop,Promo
2024-02-21,YouTube,Positive,Bandung,11404,Carousel,@snackattack | ZingPop,Behind the Scenes
2024-02-16,YouTube,Neutral,Makassar,18029,Image,@genzfoodie | ZingPop,Review
2024-03-01,YouTube,Positive,Surabaya,5485,Carousel,@snackattack | ZingPop,Behind the Scenes
2024-02-10,YouTube,Positive,Bandung,8170,Carousel,@tastebuds.id | ZingPop,Behind the Scenes
2024-02-08,YouTube,Neutral,Yogyakarta,12529,Image,@genzfoodie | ZingPop,Product Launch
2024-02-22,TikTok,Neutral,Jakarta,10157,Image,@tastebuds.id | ZingPop,Review
